Symbol,Name,ISIN,Exchange,Sector,Series
ANDHRAPET,ANDHRA PETROCHEMICALSLTD.,INE714B01016,NSE,Unknown,BE
ANDHRSUGAR,ANDHRA SUGARS LTD.,INE715B01021,NSE,Unknown,BE
ANGELONE,ANGEL ONE LIMITED,INE732I01013,NSE,Unknown,BE
ANIKINDS,ANIK INDUSTRIES LTD,INE087B01017,NSE,Unknown,BE
ANKITMETAL,ANKIT MET & POW LTD,INE106I01010,NSE,Unknown,BE
ANLON,ANLON TECHNOLOGY SOL LTD,INE0LR101013,NSE,Unknown,SM
ANMOL,ANMOL INDIA LIMITED,INE02AR01019,NSE,Unknown,BE
ANNAPURNA,ANNAPURNA SWADISHT LTD,INE0MGM01017,NSE,Unknown,SM
ANONDITA,ANONDITA MEDICARE LIMITED,INE0VTV01012,NSE,Unknown,SM
ANSALAPI,ANSAL PROP & INFRA LTD,INE436A01026,NSE,Unknown,BE
ANSALHSG,ANSAL HOUSING LIMITED,INE880B01015,NSE,Unknown,BE
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,INE818A01017,NSE,Unknown,BE
ANTFRIBEAR,ANTFRIBEAR DEPO SETT.,INE779A01011,NSE,Unknown,BE
ANTGRAPHIC,ANTARCTICA LTD,INE414B01021,NSE,Unknown,BE
ANTHEM,ANTHEM BIOSCIENCES LTD,INE0CZ201020,NSE,Unknown,BE
ANUHPHR,ANUH PHARMA LIMITED,INE489G01022,NSE,Unknown,BE
ANUP,THE ANUP ENGINEERING LTD,INE294Z01018,NSE,Unknown,BE
ANURAS,ANUPAM RASAYAN INDIA LTD,INE930P01018,NSE,Unknown,BE
ANYA,ANYA POLYTECH & FERTI LTD,INE0SI601032,NSE,Unknown,SM
AONEGOLD,AONEAMC - AONEGOLD,INF1J2R01114,NSE,Unknown,EQ
AONELIQUID,AONEAMC - AONELIQUID,INF1J2R01056,NSE,Unknown,EQ
AONENIFTY,AONEAMC - AONENIFTY,INF1J2R01064,NSE,Unknown,EQ
AONETOTAL,AONEAMC - AONETOTAL,INF1J2R01015,NSE,Unknown,EQ
APARINDS,APAR INDUSTRIES LTD.,INE372A01015,NSE,Unknown,BE
APCL,ANJANI PORTLAND CEM LTD,INE071F01012,NSE,Unknown,BE
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,INE116A01032,NSE,Unknown,BE
APEX,APEX FROZEN FOODS LIMITED,INE346W01013,NSE,Unknown,BE
APEXECO,APEX ECOTECH LIMITED,INE0T4V01015,NSE,Unknown,SM
APLAPOLLO,APL APOLLO TUBES LTD,INE702C01027,NSE,Unknown,BE
APLLTD,ALEMBIC PHARMA LTD,INE901L01018,NSE,Unknown,BE
APOLLO,APOLLO MICRO SYSTEMS LTD,INE713T01028,NSE,Unknown,BE
APOLLOHOSP,APOLLO HOSPITALS LTD-DEPO,INE437A01024,NSE,Unknown,BE
APOLLOPIPE,APOLLO PIPES LIMITED,INE126J01016,NSE,Unknown,BE
APOLLOTUBE,APOLLO TUBES LTD.,INE004301011,NSE,Unknown,EQ
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,INE451F01024,NSE,Unknown,BE
APRAMEYA,APRAMEYA ENGINEERING LTD,INE0LQG01010,NSE,Unknown,SM
APS,AUSTRALIAN PREM SOLAR I L,INE0P0001010,NSE,Unknown,SM
APTECHT,APTECH LIMITED,INE266F01018,NSE,Unknown,BE
APTUS,APTUS VALUE HSG FIN I LTD,INE852O01025,NSE,Unknown,BE
ARABIAN,ARABIAN PETROLEUM LIMITED,INE08NJ01024,NSE,Unknown,SM
ARAVALISEC,ARAVALI SECURITIES AND FI,INE445901015,NSE,Unknown,EQ
ARCHIDPLY,ARCHIDPLY IND. LTD,INE877I01016,NSE,Unknown,BE
ARCHIES,ARCHIES LTD,INE731A01020,NSE,Unknown,BE
ARCIIL,ARC INSULATION & INSU LTD,INE0YDV01010,NSE,Unknown,SM
ARCOTECH,ARCOTECH LIMITED,INE574I01035,NSE,Unknown,BE
ARFIN,ARFIN INDIA LIMITED,INE784R01023,NSE,Unknown,BE
ARHAM,ARHAM TECHNOLOGIES LTD,INE0L2Y01011,NSE,Unknown,SM
ARIES,ARIES AGRO LTD.,INE298I01015,NSE,Unknown,BE
ARIHANT,ARIHANT FOUN & HOU LTD,INE413D01011,NSE,Unknown,BE
ARIHANTACA,ARIHANT ACADEMY LIMITED,INE0NCC01015,NSE,Unknown,SM
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,INE420B01036,NSE,Unknown,BE
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,INE643K01018,NSE,Unknown,BE
ARISINFRA,ARISINFRA SOLUTIONS LTD,INE0H9P01028,NSE,Unknown,BE
ARISTO,ARISTO BIO T AND LIFESC L,INE082101010,NSE,Unknown,SM
ARKADE,ARKADE DEVELOPERS LIMITED,INE0QRL01017,NSE,Unknown,BE
ARMANFIN,ARMAN FIN SERV LTD,INE109C01017,NSE,Unknown,BE
AROGRANITE,ARO GRANITE IND. LTD.,INE210C01013,NSE,Unknown,BE
ARSHIYA,ARSHIYA LIMITED,INE968D01022,NSE,Unknown,BE
ARSSBL,ANAND RATHI SH N STK BR L,INE549H01021,NSE,Unknown,BE
ARSSINFRA,ARSS INFRA PROJ. LTD,INE267I01010,NSE,Unknown,BE
ARTEDZ,ARTEDZ FABS LIMITED,INE00CO01016,NSE,Unknown,SM
ARTEMISMED,ARTEMIS MED SERVICE LTD,INE025R01021,NSE,Unknown,BE
ARTNIRMAN,ART NIRMAN LIMITED,INE738V01013,NSE,Unknown,BE
ARTSONENGG,ARTSON ENGINEERING LTD,INE533801010,NSE,Unknown,EQ
ARUNASUGAR,ARUNA SUGARS AND ENTERP.,INE008101011,NSE,Unknown,EQ
ARUNAYA,ARUNAYA ORGANICS LIMITED,INE0TTG01017,NSE,Unknown,SM
ARVEE,ARVEE LABORATORIES I LTD,INE006Z01016,NSE,Unknown,BE
ARVIND,ARVIND LIMITED,INE034A01011,NSE,Unknown,BE
ARVINDFASN,ARVIND FASHIONS LIMITED,INE955V01021,NSE,Unknown,BE
ARVINDPORT,ARVIND PORT AND INFRA LTD,INE0P4T01013,NSE,Unknown,SM
ARVSMART,ARVIND SMARTSPACES LTD,INE034S01021,NSE,Unknown,BE
ARYAFINFAB,ARYAN FINEFAB LTD,INE008901014,NSE,Unknown,EQ
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,INE439A01020,NSE,Unknown,BE
ASAHISONG,ASAHI SONGWON COLOR LTD,INE228I01012,NSE,Unknown,BE
ASAL,AUTOMOTIVE STAMPINGS & AS,INE900C01027,NSE,Unknown,BE
ASALCBR,ASSO ALCOHOLS & BREW LTD,INE073G01016,NSE,Unknown,BE
ASCOM,ASCOM LEASIN & INVEST LTD,INE08KD01015,NSE,Unknown,SM
ASHALOG,ASHAPURA LOGISTICS LTD,INE0LAA01017,NSE,Unknown,SM
ASHAPURMIN,ASHAPURA MINECHEM LTD,INE348A01023,NSE,Unknown,BE
ASHIANA,ASHIANA HOUSING LTD,INE365D01021,NSE,Unknown,BE
ASHIMASYN,ASHIMA LTD,INE440A01010,NSE,Unknown,BE
ASHOKA,ASHOKA BUILDCON LTD,INE442H01029,NSE,Unknown,BE
ASHOKALCO,ASHOK ALCO-CHEM LTD,INE010401011,NSE,Unknown,EQ
ASHOKAMET,ASHOKA METCAST LIMITED,INE760Y01011,NSE,Unknown,BE
ASHOKLEY,ASHOK LEYLAND -DEP SETT,INE208A01029,NSE,Unknown,BE
ASHOKORG,ASHOK ORGANIC INDUS. LTD.,INE010901010,NSE,Unknown,EQ
ASIANALLOY,ASIAN ALLOYS LTD,INE011301012,NSE,Unknown,EQ
ASIANCONSO,ASIAN CONSOLIDATED INDUST,INE011901019,NSE,Unknown,EQ
ASIANENE,ASIAN ENERGY SERVICES LTD,INE276G01015,NSE,Unknown,BE
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,INE363A01022,NSE,Unknown,BE
ASIANPAINT,ASIAN PAINTS LIMITED,INE021A01026,NSE,Unknown,BE
ASIANTILES,ASIAN GRANITO IND. LTD.,INE022I01019,NSE,Unknown,BE
ASIL,AMIT SPINNING IND. LTD,INE988A01026,NSE,Unknown,BE
ASILIND,ASIL INDUSTRIES LTD.,INE012901018,NSE,Unknown,EQ
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,INE491J01022,NSE,Unknown,BE
ASLIND,ASL INDUSTRIES LIMITED,INE617I01024,NSE,Unknown,SM
ASMS,BARTRONICS INDIA LIMITED,INE855F01042,NSE,Unknown,BE
ASOCALCHOL,ASSOCIATED ALCOHOL & BREW,INE013401018,NSE,Unknown,EQ
ASPINWALL,ASPINWALL & CO LTD,INE991I01015,NSE,Unknown,BE
ASSAMFRONT,AFT INDUSTRIES LTD.,INE417A01018,NSE,Unknown,BE
ASTEC,ASTEC LIFESCIENCES LTD,INE563J01010,NSE,Unknown,BE
ASTERDM,ASTER DM HEALTHCARE LTD.,INE914M01019,NSE,Unknown,BE
ASTRAL,ASTRAL LIMITED,INE006I01046,NSE,Unknown,BE
ASTRAMICRO,ASTRA MICROWAVE LTD,INE386C01029,NSE,Unknown,BE
ASTRAZEN,ASTRAZENECA PHARMA IND LT,INE203A01020,NSE,Unknown,BE
ASTRON,ASTRON PAPER BORD MIL LTD,INE646X01014,NSE,Unknown,BE
ATAM,ATAM VALVES LIMITED,INE09KD01013,NSE,Unknown,BE
ATASHIND,ATASH INDUSTRIES LTD,INE014001015,NSE,Unknown,EQ
ATCENERGY,ATC ENERGIES SYSTEM LTD,INE0V0Q01019,NSE,Unknown,SM
ATCOM,ATCOM TECHNOLOGIES LTD,INE834A01014,NSE,Unknown,BE
ATGL,ADANI TOTAL GAS LIMITED,INE399L01023,NSE,Unknown,BE
ATL,ALLCARGO TERMINALS LTD,INE0NN701020,NSE,Unknown,BE
ATLANTAA,ATLANTAA LIMITED,INE285H01022,NSE,Unknown,BE
ATLANTAELE,ATLANTA ELECTRICALS LTD,INE0Z4F01028,NSE,Unknown,BE
ATLANTSPG,ATLANTIC SPG & WVG MILLS,INE014401017,NSE,Unknown,EQ
ATLASCOPCO,ATLAS COPCO (I) LTD DEPO,INE445A01019,NSE,Unknown,BE
ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,INE446A01025,NSE,Unknown,BE
ATMASTCO,ATMASTCO LIMITED,INE05DH01017,NSE,Unknown,SM
ATNINTER,ATN INTERNATIONAL LTD,INE803A01027,NSE,Unknown,BE
ATUL,ATUL LTD,INE100A01010,NSE,Unknown,BE
ATULAUTO,ATUL AUTO LIMITED,INE951D01028,NSE,Unknown,BE
ATVPETRO,SVC SUPERCHEM LTD. - DEPO,INE038B01010,NSE,Unknown,BE
ATVPROJ,ATV PROJECTS INDIA LTD,INE015201010,NSE,Unknown,EQ
AUBANK,AU SMALL FINANCE BANK LTD,INE949L01017,NSE,Unknown,BE
AURANPAPER,AURANGABAD PAPER MILLS LT,INE015401016,NSE,Unknown,EQ
AURDIS,AURANGABAD DISTILLERY LTD,INE448V01019,NSE,Unknown,SM
AURIONPRO,AURIONPRO SOLN LTD,INE132H01018,NSE,Unknown,BE
AUROIMPEX,AURO IMPEX & CHEMICALS L,INE0NUL01018,NSE,Unknown,SM
AUROPHARMA,AUROPHARMA-DEP SETT,INE406A01037,NSE,Unknown,BE
AURUM,AURUM PROPTECH LIMITED,INE898S01029,NSE,Unknown,BE
AUSL,ADITYA ULTRA STEEL LTD,INE01YQ01013,NSE,Unknown,SM
AUSOMENT,AUSOM ENTERPRISE LIMITED,INE218C01016,NSE,Unknown,BE
AUSTRAL,AUSTRAL COKE & PRO LTD,INE455J01027,NSE,Unknown,BE
